Price,Bedrooms,Is_premium_subarea,Sub_locality,Property_type,Area,Is_estate,Price_log,Group_median,Group_std,Price_zscore_in_group
400000,1,0,Abijo Ajah,mini flat,island,1,12.899222326086994,365000.0,1204599.6404862693,0.029055296734001434
14000000,3,1,Gerrard Gerard Road Ikoyi,flat,island,0,16.454567959008102,7500000.0,5588541.634109451,1.1630941353872175
200000,1,0,Akoka Yaba,mini flat,mainland,0,12.206077645517674,350000.0,197881.37662672115,-0.7580298993116291
800000,2,0,Iju Ishaga Road Gbaja Surulere,flat,mainland,0,13.592368256649284,725000.0,366236.1254336464,0.20478591485532818
300000,1,0,Abule-Oja Yaba,mini flat,mainland,0,12.611541086966115,350000.0,197881.37662672115,-0.2526766331038764
300000,1,0,Alagomeji Yaba,mini flat,mainland,0,12.611541086966115,350000.0,197881.37662672115,-0.2526766331038764
300000,0,0,Akoka Abule-Oja Yaba,self contain,mainland,0,12.611541086966115,230000.0,96333.31300434396,0.7266437519577832
600000,2,0,Akoka Yaba,flat,mainland,0,13.304686600863562,700000.0,388728.5267957169,-0.2572489362288341
450000,1,0,Akoka Yaba,mini flat,mainland,0,13.017005083966255,350000.0,197881.37662672115,0.5053532662077528
1000000,3,0,Alapere Kosofe/Ikosi,flat,mainland,0,13.815511557963774,1000000.0,471780.70203466876,0.0
500000,2,0,Palmgroove Shomolu,flat,mainland,0,13.122365377402328,500000.0,246132.39769290932,0.0
3300000,5,0,Ilupeju Estate Coker Road Ilupeju,flat,mainland,1,15.009433329466965,3300000.0,1.0,0.0
2500000,4,1,Agungi Agungi Lekki,duplex,island,0,14.731801689838349,3500000.0,4441466.645353092,-0.22515085215066408
550000,3,0,Abule-Ado Beside Trade Fair Complex Satellite Town Amuwo Odofin,flat,mainland,1,13.217675375388819,900000.0,232605.93417828914,-1.504690760519162
1500000,3,0,Phase1 Magodo Kosofe/Ikosi,flat,mainland,0,14.220976332738882,1000000.0,471780.70203466876,1.0598144388772763
300000,1,0,Off Akoka Akoka Yaba,mini flat,mainland,0,12.611541086966115,350000.0,197881.37662672115,-0.2526766331038764
180000,1,0,Off Akoka Akoka Yaba,mini flat,mainland,0,12.100717685412471,350000.0,197881.37662672115,-0.8591005525531797
150000,1,0,Off Akoka Akoka Yaba,mini flat,mainland,0,11.918397239722838,350000.0,197881.37662672115,-1.0107065324155056
1500000,3,1,Orchid Hotel Chevron Lekki,flat,island,0,14.220976332738882,2000000.0,1404009.206178628,-0.3561230209885009
85000,1,0,Off Akoka Akoka Yaba,mini flat,mainland,0,11.350418300109132,350000.0,197881.37662672115,-1.3391861554505449
80000,1,0,Off Akoka Akoka Yaba,mini flat,mainland,0,11.289794413577894,350000.0,197881.37662672115,-1.3644538187609325
1200000,2,0,Alagomeji Yaba,flat,mainland,0,13.997832948091215,700000.0,388728.5267957169,1.2862446811441703
800000,1,1,Orchid Hotel Chevron Lekki,mini flat,island,0,13.592368256649284,1100000.0,655271.5531639188,-0.4578254596151434
400000,3,1,New Road Chevron Lekki,flat,island,0,12.899222326086994,2000000.0,1404009.206178628,-1.139593667163203
1000000,3,0,Lbs Lekki Gardens Estate Ajah,flat,island,1,13.815511557963774,900000.0,345391.2078968643,0.2895267676583723
850000,3,0,Soluyi Gbagada,flat,mainland,0,13.652992804936396,1000000.0,395058.6778605653,-0.379690431842487
600000,2,0,Soluyi Gbagada,flat,mainland,0,13.304686600863562,775000.0,160228.0628912014,-1.092193195388183
450000,1,0,Ifako-Gbagada Gbagada,mini flat,mainland,0,13.017005083966255,400000.0,103946.4532858813,0.48101689301977685
7000000,3,1,Ikeja Gra Ikeja,house,mainland,0,15.76142084987672,4750000.0,3181980.515339464,0.7071067811865475
1200000,4,0,Palm Crescent Estate Badore Ajah,bungalow,island,1,13.997832948091215,1300000.0,245515.33104427057,-0.4073065399812784
900000,3,0,Mobil Road Ilaje Lekki,flat,island,0,13.710151153416941,2000000.0,1404009.206178628,-0.783470646174702
530000,1,0,Oke-Afa Isolo,mini flat,mainland,0,13.180634172318978,375000.0,2425268.81073992,0.06391044131421926
650000,2,0,Power Line Oke-Ira Ogba,flat,mainland,0,13.384729180332174,600000.0,163816.95331828375,0.3052187150792253
350000,1,0,Yabatech Abule-Oja Yaba,mini flat,mainland,0,12.765691290604371,350000.0,197881.37662672115,0.0
3500000,5,1,Chevron Lekki,duplex,island,0,15.068273812173887,5000000.0,15715303.809011258,-0.09544836156077938
500000,3,0,Adeba Lakowe Ajah,flat,island,0,13.122365377402328,900000.0,345391.2078968643,-1.1581070706334893
300000,1,0,Container Awoyaya Ajah,mini flat,island,0,12.611541086966115,365000.0,1204599.6404862693,-0.053959836791716946
300000,0,0,Shomolu Shomolu,self contain,mainland,0,12.611541086966115,200000.0,46184.46628584523,2.1652301746019815
400000,1,0,Shomolu Shomolu,mini flat,mainland,0,12.899222326086994,350000.0,176717.89236844712,0.2829368284664279
2200000,4,0,Behind Ikota Villa Estate Ikota Lekki,duplex,island,1,14.603968372873895,3500000.0,4441466.645353092,-0.2926961077958633
3500000,4,0,Lekki V.G.C Lekki,duplex,island,0,15.068273812173887,3500000.0,4441466.645353092,0.0
3500000,2,0,Ikeja,flat,mainland,0,15.068273812173887,1000000.0,1799391.966140632,1.389358209352265
600000,3,0,Jibowu Yaba,flat,mainland,0,13.304686600863562,1000000.0,624067.9867957743,-0.6409558068404807
600000,3,0,Jibowu Yaba,flat,mainland,0,13.304686600863562,1000000.0,624067.9867957743,-0.6409558068404807
1200000,3,0,Adekunle Yaba,flat,mainland,0,13.997832948091215,1000000.0,624067.9867957743,0.32047790342024035
1000000,3,0,Medina Gbagada,flat,mainland,1,13.815511557963774,1000000.0,395058.6778605653,0.0
1200000,3,0,Adekunle Yaba,flat,mainland,0,13.997832948091215,1000000.0,624067.9867957743,0.32047790342024035
300000,2,0,Agiliti Mile 12 Kosofe/Ikosi,flat,mainland,0,12.611541086966115,650000.0,284013.1899463334,-1.2323371321808516
2500000,5,0,Gbagada Medina Gbagada,duplex,mainland,1,14.731801689838349,2600000.0,700417.4579382037,-0.14277199813717775
1800000,2,0,Ikate Ikate Lekki,flat,island,0,14.403297778421795,2000000.0,895390.6211295603,-0.2233661993775347
1200000,3,0,Adekunle Yaba,flat,mainland,0,13.997832948091215,1000000.0,624067.9867957743,0.32047790342024035
1000000,3,1,Gra Phase 2 Magodo Kosofe/Ikosi,flat,mainland,0,13.815511557963774,1000000.0,471780.70203466876,0.0
1100000,3,0,Onike Yaba,flat,mainland,0,13.910821646859095,1000000.0,624067.9867957743,0.16023895171012018
1000000,2,0,Onike Yaba,flat,mainland,0,13.815511557963774,700000.0,388728.5267957169,0.7717468086865023
250000,1,0,Ogunfayo Lakowe Ajah,mini flat,island,0,12.429220196836383,365000.0,1204599.6404862693,-0.09546740355457614
500000,2,0,Awoyaya Ajah,flat,island,0,13.122365377402328,700000.0,204008.4003956448,-0.9803517875348707
700000,3,0,Fola Agoro Yaba,flat,mainland,0,13.45883704259595,1000000.0,624067.9867957743,-0.48071685513036055
700000,3,0,Fola Agoro Yaba,flat,mainland,0,13.45883704259595,1000000.0,624067.9867957743,-0.48071685513036055
800000,3,0,Adekunle Yaba,flat,mainland,0,13.592368256649284,1000000.0,624067.9867957743,-0.32047790342024035
4000000,3,1,Ikoyi S.W Ikoyi,flat,island,0,15.201805169084134,7500000.0,5588541.634109451,-0.626281457516194
1600000,3,1,Gra Phase 2-Beside School Kit Shop Magodo Kosofe/Ikosi,flat,mainland,0,14.285514812209815,1000000.0,471780.70203466876,1.2717773266527317
800000,3,0,Adekunle Yaba,flat,mainland,0,13.592368256649284,1000000.0,624067.9867957743,-0.32047790342024035
800000,3,0,Alagomeji Yaba,flat,mainland,0,13.592368256649284,1000000.0,624067.9867957743,-0.32047790342024035
250000,2,0,Bayeku Igbogbo Ikorodu,flat,mainland,1,12.429220196836383,250000.0,871957.4409978761,0.0
250000,2,0,Ikorodu Igbogbo Ikorodu,flat,mainland,0,12.429220196836383,250000.0,871957.4409978761,0.0
